,Unnamed: 0,Loan_ID,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Female,Gender_Male,Gender_Other,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,hasCoapplicant
0,0,LP001002,False,0.0,True,False,5849,0.0,128.0,360.0,True,True,False,True,False,False,False,True,False
1,1,LP001003,True,1.0,True,False,4583,1508.0,128.0,360.0,True,False,False,True,False,True,False,False,True
2,2,LP001005,True,0.0,True,True,3000,0.0,66.0,360.0,True,True,False,True,False,False,False,True,False
3,3,LP001006,True,0.0,False,False,2583,2358.0,120.0,360.0,True,True,False,True,False,False,False,True,True
4,4,LP001008,False,0.0,True,False,6000,0.0,141.0,360.0,True,True,False,True,False,False,False,True,False
5,5,LP001011,True,2.0,True,True,5417,4196.0,267.0,360.0,True,True,False,True,False,False,False,True,True
6,6,LP001013,True,0.0,False,False,2333,1516.0,95.0,360.0,True,True,False,True,False,False,False,True,True
7,7,LP001014,True,3.0,True,False,3036,2504.0,158.0,360.0,False,False,False,True,False,False,True,False,True
8,8,LP001018,True,2.0,True,False,4006,1526.0,168.0,360.0,True,True,False,True,False,False,False,True,True
9,9,LP001020,True,1.0,True,False,12841,10968.0,349.0,360.0,True,False,False,True,False,False,True,False,True
10,10,LP001024,True,2.0,True,False,3200,700.0,70.0,360.0,True,True,False,True,False,False,False,True,True
11,11,LP001027,True,2.0,True,True,2500,1840.0,109.0,360.0,True,True,False,True,False,False,False,True,True
12,12,LP001028,True,2.0,True,False,3073,8106.0,200.0,360.0,True,True,False,True,False,False,False,True,True
13,13,LP001029,False,0.0,True,False,1853,2840.0,114.0,360.0,True,False,False,True,False,True,False,False,True
14,14,LP001030,True,2.0,True,False,1299,1086.0,17.0,120.0,True,True,False,True,False,False,False,True,True
15,15,LP001032,False,0.0,True,False,4950,0.0,125.0,360.0,True,True,False,True,False,False,False,True,False
16,16,LP001034,False,1.0,False,False,3596,0.0,100.0,240.0,True,True,False,True,False,False,False,True,False
17,17,LP001036,False,0.0,True,False,3510,0.0,76.0,360.0,False,False,True,False,False,False,False,True,False
